volatility,_olat_l_ty,การเปลี่ยนแปลงได้ง่าย,vii
fluctuation,_l_c_u_tion,การผันแปร,futa
monetary,_on_t_ry,เกี่ยวกับเงินตรา,mea
wholesaler,_ho_e_al_r,ผู้ขายส่ง,wlse
registration,_egis_ra_ion,ลงทะเบียน,rtt
validate,_a_id_te,มีเหตุผล,vla
reciprocal,r_c_p_o_al,ซึ่งกันและกัน,eirc
transparency,t_an_pa_e_cy,ลักษณะโปร่งใส,rsrn
pesticide,p_s_i_i_e,ยาฆ่าแมลง,etcd
cultivate,c_lti_ate,เพาะปลูก,uv
livestock,_i_e_t_c_,ปศุสัตว์,lvsok
burdock,b_rd_ck,หญ้าเจ้าชู้,uo
asparagus,a_p_r_g_s,หน่อไม้ฝรั่ง,saau
persimmon,p_r_immon,ต้นพลัม,es
harvest,_ar_e_t,เก็บเกี่ยว,hvs
pasture,p_s_ure,ทุ่งหญ้า,at
organization,_r_an_zation,องค์กร,ogi
establish,e_t_b_ish,บัญญัติ,sal
solidarity,s_l_darity,ความมั่นคง,oi
encourage,e_c_u_a_e,ให้กำลังใจ,norg
persuade,_er_uade,การชักชวน,ps
