science,sc_ence,วิทยาศาสตร์,i
mathematics,math_matics,คณิตศาสตร์,e
physics,ph_sics,ฟิสิกส์,y
biology,bi_logy,ชีววิทยา,o
chemistry,che_istry,เคมี,m
astronomy,a_tr_n_my,ดาราศาสตร์,soo
geology,ge_l_gy,ธรณีวิทยา,oo
experiment,e_per_ment,การทดลอง,xi
theory,th_ory,ทฤษฎี
hypothesis,h_p_the_i_,สมมติฐาน,yoss
labatory,_abatory,ห้องปฏิบัติการ,l
computer,c_mputer,คอมพิวเตอร์,o
game,g_me,เกม,a
graphics,gr_phics,กราฟฟิก,a
evidence,e_iden_e,หลักฐาน,vc
signal,s_gn_l,สัญญาณ
electricity,e_ectri_ity,ไฟฟ้า,lc
discrete,d_scr_te,ไม่ต่อเนื่อง,ie
calculator,cal_ulat_r,เครื่องคิดเลข,co
technology,te_hnolog_,เทคโนโลยี,cy
