career,c_reer,อาชีพ,a
dentist,_en_ist,ทันตแพทย์,dt
nurse,_ur_e,พญาบาล,ns
pharmacist,_har_acist,เภสัชกร,pm
veterinarian,_et_rinarian,สัตวแพทย์,ve
engineer,_n_i_ee_,วิศวกร,egnr
surgery,_u_g_ry,ศัลยแพทย์,sre
radiologic,r_diol_gic,นักรังสี,ao
finance,f_nan_e,การเงิน,ic
doctor,_o_t_r,แพทย์,dco
lawyer,_aw_er,ทนาย,ly
accountant,_cc_u_tant,นักบัญชี,aon
business,_usi_ess,ธุรกิจ,bn
president,_res_dent,ประธานาธิบดี,pi
hairdresser,_ai_d_e_s_r,ช่างแต่งผม,hrrse
architect,_r_h_tect,สถาปัตย์,aci
shopkeeper,_hop_ee_er,ขายของ,skp
driver,d_i_er,คนขับรถ,rv
director,_ir_ctor,ผู้กำกับ,de
carpenter,_ar_en_er,ช่างไม้,cpt
